GEOID,NAME,TRACTCE,STATEFP,COUNTYFP,GEOIDFQ,NAMELSAD,INTPTLAT,INTPTLON,median_rent,vacancy_rate_rental,median_rooms,renter_share,owner_share,recent_movers_share,overcrowded_share,rent_burden35_share,bed_0_share,bed_1_share,bed_2_share,bed_3_share,bed_4_share,bed_5p_share
11001002600,26.0,2600,11,1,1400000US11001002600,Census Tract 26,38.9464323,-77.0404553,1875.0,5.2,10.0,0.27039106145251396,0.729608938547486,0.09385474860335195,0.05251396648044693,0.24017467248908297,0.04807692307692308,0.0673076923076923,0.05555555555555555,0.1581196581196581,0.37606837606837606,0.2948717948717949
11001009601,96.01,9601,11,1,1400000US11001009601,Census Tract 96.01,38.90913,-76.9490606,743.0,4.5,5.5,0.6690391459074733,0.3309608540925267,0.09134045077105575,0.0,0.28900709219858156,0.004362050163576881,0.07742639040348964,0.3936750272628135,0.3653217011995638,0.11559432933478735,0.04362050163576881
11001000202,2.02,202,11,1,1400000US11001000202,Census Tract 2.02,38.9063048,-77.0696362,3361.0,13.4,6.0,0.2685589519650655,0.7314410480349345,0.14192139737991266,0.007096069868995633,0.720173535791757,0.02225594334850784,0.14871016691957512,0.2589782498735458,0.3783510369246333,0.09863429438543247,0.09307030854830552
11001004300,43.0,4300,11,1,1400000US11001004300,Census Tract 43,38.916804,-77.0341511,2660.0,2.1,3.1,0.6701688555347092,0.3298311444652908,0.28180112570356475,0.03076923076923077,0.2558790593505039,0.1841556636553162,0.47289784572619875,0.2338429464906185,0.09972202918693537,0.002779708130646282,0.00660180681028492
11001006804,68.04,6804,11,1,1400000US11001006804,Census Tract 68.04,38.8863842,-76.9704836,,0.0,3.4,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.5277777777777778,0.4722222222222222,0.0,0.0,0.0
11001004100,41.0,4100,11,1,1400000US11001004100,Census Tract 41,38.9159337,-77.0516151,2402.0,5.1,4.0,0.5222300635144672,0.47776993648553284,0.10938602681721948,0.006351446718419196,0.25595238095238093,0.13366336633663367,0.3372524752475248,0.19492574257425743,0.12314356435643564,0.10581683168316831,0.1051980198019802
11001010100,101.0,10100,11,1,1400000US11001010100,Census Tract 101,38.9026971,-77.0318472,2290.0,10.1,2.2,0.7256162915326902,0.27438370846730975,0.289924973204716,0.09967845659163987,0.3732612055641422,0.35336888027144936,0.3877847794474067,0.23412506059137178,0.015026660203587009,0.005332040717401842,0.004362578768783325
11001004901,49.01,4901,11,1,1400000US11001004901,Census Tract 49.01,38.9113296,-77.0244761,2690.0,2.6,3.1,0.7726558407543216,0.22734415924567836,0.19015191199580933,0.03300157150340492,0.4034843205574913,0.12840466926070038,0.433852140077821,0.24319066147859922,0.13521400778210116,0.04571984435797665,0.013618677042801557
11001005900,59.0,5900,11,1,1400000US11001005900,Census Tract 59,38.8959944,-77.0149475,2600.0,1.8,2.9,0.8610923803101821,0.13890761968981793,0.22589345920431558,0.015509103169251517,0.2310177705977383,0.18683385579937303,0.6068965517241379,0.17366771159874608,0.03260188087774295,0.0,0.0
11001009901,99.01,9901,11,1,1400000US11001009901,Census Tract 99.01,38.8753461,-76.9553332,1088.0,9.4,7.2,0.21436114044350582,0.7856388595564942,0.042238648363252376,0.0,0.5441176470588235,0.0,0.07414272474513438,0.13531047265987026,0.448563484708063,0.211306765523633,0.13067655236329936
11001007901,79.01,7901,11,1,1400000US11001007901,Census Tract 79.01,38.8965543,-76.9804319,1294.0,20.5,4.3,0.4689899586532782,0.5310100413467218,0.14412285883047843,0.0,0.5481283422459893,0.0,0.21838496698831894,0.36312849162011174,0.3179278821736922,0.09801929913661757,0.0025393600812595226
11001001803,18.03,1803,11,1,1400000US11001001803,Census Tract 18.03,38.9672412,-77.0419173,1299.0,2.3,3.6,0.8550207961972668,0.14497920380273321,0.0106951871657754,0.0707070707070707,0.3942161339421613,0.07249584947426674,0.478693967902601,0.3054786939679026,0.10459324847814057,0.028223574986164915,0.010514665190924184
11001007406,74.06,7406,11,1,1400000US11001007406,Census Tract 74.06,38.8555543,-76.9895582,1471.0,10.9,4.6,0.8998422712933754,0.10015772870662461,0.12066246056782334,0.0,0.4411492122335496,0.07623626373626374,0.01304945054945055,0.45467032967032966,0.41208791208791207,0.04395604395604396,0.0
